ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,1e:e8:29:ee:72:33,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,18:e8:29:ed:72:33,ba:fb:e4:c5:d2:73,24:81:3b:50:c9:e1,18:e8:29:ee:72:33,1e:e8:29:e4:3e:31,1e:e8:29:ed:72:33,32:cd:a7:c1:89:0d,34:60:f9:63:80:30,14:cc:20:2c:3d:42,b4:fb:e4:c4:d2:73,c0:25:5c:a3:84:f1,c0:25:5c:a3:84:f0,c0:25:5c:a3:c8:c0,c0:25:5c:a3:c8:c1,00:08:2f:33:a0:91,00:08:2f:33:a0:90,00:08:2f:33:a0:98,00:08:2f:33:a0:95,00:08:2f:33:a0:94,54:b8:0a:10:f6:42,10:b3:d6:07:cd:41,92:8c:c8:40:47:fb,12:e8:a7:a1:61:95,10:b3:d6:07:cd:42,10:b3:d6:07:cd:40,b4:fb:e4:c5:d2:73,ce:80:59:cd:76:6c,10:b3:d6:07:cd:60,10:b3:d6:07:cd:61,c0:25:5c:a3:c8:c2,14:dd:a9:97:ce:58,1e:e8:29:e4:35:72,c2:56:27:c2:67:83,0e:76:84:a5:21:cd,24:81:3b:50:c9:ef,b4:fb:e4:c5:af:1a,24:81:3b:50:c9:ed,24:81:3b:50:c9:ee,24:81:3b:52:ec:6e,24:81:3b:52:ec:6f,ba:fb:e4:c5:af:1a,24:81:3b:52:ec:6d,10:b3:d6:07:cd:62,b8:d4:bc:21:5b:99,34:60:f9:63:7e:de,x,y,theta
-45.0,,-53,-49.0,,-93.0,-45.0,-63.0,,-50.0,-50.0,-45.0,-50.0,-64.0,,,,-45.0,-45.0,,,-59.0,-45.0,-70.0,-70.0,-71.0,-49.0,,,,,,,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5114444743515194,1.9646351415708128,3.178087048439787
-57.0,,-49,-59.0,,-74.0,-59.0,-75.0,-63.0,-66.0,-66.0,-53.0,-66.0,-76.0,-60.0,,,-75.0,-75.0,-82.0,,,-76.0,,,,,-61.0,,,-67.0,-76.0,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.06992529635996,-5.4065945591271865,1.3931831261164271
-47.0,,-67,-59.0,,-76.0,-47.0,-71.0,,,,-43.0,-64.0,-72.0,-61.0,,,-68.0,-68.0,,,,-68.0,-95.0,-95.0,,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6411900151231129,-5.10812839976957,-1.872791679320696
-42.0,,-47,-60.0,-73.0,-89.0,-42.0,-62.0,-56.0,-47.0,,-34.0,-47.0,-63.0,-58.0,,,-48.0,-47.0,,,,-47.0,-77.0,-76.0,,-36.0,-58.0,,-93.0,,-62.0,,,,,-93.0,,,,-96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16774130451286,-3.4455636954347333,5.968293201236715
-43.0,-71.0,-54,-65.0,-68.0,-95.0,-44.0,-68.0,-63.0,-49.0,-50.0,-47.0,-49.0,-69.0,-79.0,-96.0,,-46.0,-46.0,-51.0,,-53.0,-46.0,-69.0,-69.0,-73.0,-48.0,-65.0,,,,-77.0,,,,-68.0,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.363949173993258,4.925283585801298,3.1058364345383347
-57.0,,-41,-52.0,,,-57.0,-74.0,-70.0,-62.0,-63.0,-59.0,-63.0,-74.0,-54.0,,,,,,,,,-92.0,-91.0,,-58.0,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8050807134527205,-2.48539405902682,-1.670480727144363
-77.0,-70.0,-62,-69.0,-87.0,,-77.0,-89.0,-79.0,,,,-68.0,-91.0,-61.0,,,-73.0,-73.0,-69.0,-90.0,-68.0,-73.0,-81.0,-80.0,-70.0,,-80.0,,,-89.0,,-81.0,,,-86.0,,,,,,-91.0,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533805428332836,5.331203049310279,1.6311110635210362
-58.0,,-61,-59.0,,-77.0,-58.0,-79.0,,,,-51.0,,-78.0,,,,-64.0,-65.0,,,,-64.0,,,,-50.0,,,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6629147417466047,-4.67217728203323,0.9444792985848486
-47.0,,-65,-60.0,-80.0,-78.0,-47.0,-71.0,-62.0,-65.0,-67.0,-45.0,-64.0,-71.0,-61.0,,,,,,,,,,,,-47.0,-61.0,-80.0,,,-84.0,,,,-79.0,,,,,,,,-95.0,-96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6411900151231129,-5.10812839976957,-1.872791679320696
-58.0,,-50,-42.0,,-86.0,-58.0,-78.0,,-55.0,-55.0,,-55.0,-78.0,-56.0,,,,,-73.0,,,,-88.0,-89.0,-80.0,,-69.0,,,-71.0,-84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3480763210023669,0.6779514239754725,3.080277251529987
